19:06:48.588266 [queue=0] packet #0, 127.0.0.1:50444 -> 127.0.0.1:8007, sz=0 is delivered
19:06:48.588267 [queue=0] packet #0, 127.0.0.1:50444 -> 127.0.0.1:8007, sz=70 is delivered
19:06:48.589405 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:50444, sz=70 is delayed for 1.4ms
19:06:48.592439 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:50444, sz=70 is delivered
19:06:48.594372 [queue=1] packet #1, 127.0.0.1:8007 -> 127.0.0.1:50444, sz=1013 is delayed for 2.35ms
19:06:48.594491 [queue=2] packet #2, 127.0.0.1:8007 -> 127.0.0.1:50444, sz=1013 is delayed for 2.4ms
19:06:48.595758 [queue=3] packet #3, 127.0.0.1:8007 -> 127.0.0.1:50444, sz=1013 is delayed for 1.3ms
19:06:48.595804 [queue=4] packet #4, 127.0.0.1:8007 -> 127.0.0.1:50444, sz=1013 is delayed for 2.5ms
19:06:48.595855 [queue=5] packet #5, 127.0.0.1:8007 -> 127.0.0.1:50444, sz=1013 is delayed for 4.7ms
19:06:48.598837 [queue=4] packet #4, 127.0.0.1:8007 -> 127.0.0.1:50444, sz=1013 is delivered
19:06:48.598933 [queue=3] packet #3, 127.0.0.1:8007 -> 127.0.0.1:50444, sz=1013 is delivered
19:06:48.600135 [queue=2] packet #2, 127.0.0.1:8007 -> 127.0.0.1:50444, sz=1013 is delivered
19:06:48.600240 [queue=1] packet #1, 127.0.0.1:8007 -> 127.0.0.1:50444, sz=1013 is delivered
19:06:48.600789 [queue=2] packet #4, 127.0.0.1:50444 -> 127.0.0.1:8007, sz=1013 is delayed for 3.4ms
19:06:48.601274 [queue=1] packet #5, 127.0.0.1:8007 -> 127.0.0.1:50444, sz=1013 is delivered
19:06:48.601780 [queue=2] packet #3, 127.0.0.1:50444 -> 127.0.0.1:8007, sz=1013 is delayed for 4ms
19:06:48.602947 [queue=3] packet #2, 127.0.0.1:50444 -> 127.0.0.1:8007, sz=1013 is delayed for 4.3ms
19:06:48.604310 [queue=4] packet #1, 127.0.0.1:50444 -> 127.0.0.1:8007, sz=1013 is delayed for 1ms
19:06:48.604966 [queue=3] packet #4, 127.0.0.1:50444 -> 127.0.0.1:8007, sz=1013 is delivered
19:06:48.605027 [queue=4] packet #5, 127.0.0.1:50444 -> 127.0.0.1:8007, sz=1013 is delayed for 600µs
19:06:48.607411 [queue=3] packet #3, 127.0.0.1:50444 -> 127.0.0.1:8007, sz=1013 is delivered
19:06:48.607501 [queue=2] packet #1, 127.0.0.1:50444 -> 127.0.0.1:8007, sz=1013 is delivered
19:06:48.608845 [queue=1] packet #2, 127.0.0.1:50444 -> 127.0.0.1:8007, sz=1013 is delivered
19:06:48.608936 [queue=0] packet #5, 127.0.0.1:50444 -> 127.0.0.1:8007, sz=1013 is delivered
19:06:48.631022 [queue=1] packet #6, 127.0.0.1:8007 -> 127.0.0.1:50444, sz=437 is delayed for 4.4ms
19:06:48.639193 [queue=0] packet #6, 127.0.0.1:8007 -> 127.0.0.1:50444, sz=437 is delivered
19:06:48.640634 [queue=1] packet #6, 127.0.0.1:50444 -> 127.0.0.1:8007, sz=437 is delayed for 3.2ms
19:06:48.644606 [queue=0] packet #6, 127.0.0.1:50444 -> 127.0.0.1:8007, sz=437 is delivered
19:06:48.653587 [queue=1] packet #6, 127.0.0.1:8007 -> 127.0.0.1:50444, sz=0 is delayed for 4.65ms
